BR,US,UK,Name,Kind,Size,N,Rating,GWB,Fill0D,Fill1D,StrandN,StrandD,CuBundD,InsTh,TwistLA,BeltTh,BeltTapeTh,ScreenTh,BedTh,ArmWireN,ArmWireD,ArmWireLA,ArmTapeTh,BraidTh,JackTh,Diameter,Weight
,,,LV60TQ-2K,LV,6,4,2,,2.66,,7,1.04,3.12,1.65,10,1,,,,,,,,,1.8,21.1,0.52
,,,LV100TQ-2K,LV,10,4,2,,3.04,,7,1.35,4.05,1.65,10,1,,,,,,,,,2.03,23.8,0.73
,,,LV160TQ-2K,LV,16,4,2,,3.48,,7,1.7,5.1,1.65,10,1,,,,,,,,,2.03,26.34,1.01
,,,LV60TQS-2K,LV,6,4,2,,2.66,,7,1.04,3.12,1.65,10,1,,0.213,,,,,,,2.03,21.98,0.57
,,,LV100TQS-2K,LV,10,4,2,,3.04,,7,1.35,4.05,1.65,10,1,,0.213,,,,,,,2.03,24.23,0.77
,,,LV160TQS-2K,LV,16,4,2,,3.48,,7,1.7,5.1,1.65,10,1,,0.213,,,,,,,2.03,26.76,1.06
,,,LV60TQAW-2K,LV,6,4,2,,2.66,,7,1.04,3.12,1.65,10,1,,,1.8,42,1.6,15,,,2.03,28.36,1.35
,,,LV100TQAW-2K,LV,10,4,2,,3.04,,7,1.35,4.05,1.65,10,1,,,2.03,47,1.6,15,,,2.03,31.06,1.67
,,,LV160TQAW-2K,LV,16,4,2,,3.48,,7,1.7,5.1,1.65,10,1,,,2.03,41,2,15,,,2.06,34.46,2.25
,,,LV60TQSAW-2K,LV,6,4,2,,2.66,,7,1.04,3.12,1.65,10,1,,0.213,2.03,43,1.6,15,,,2.03,29.24,1.43
,,,LV100TQSAW-2K,LV,10,4,2,,3.04,,7,1.35,4.05,1.65,10,1,,0.213,2.03,47,1.6,15,,,2.03,31.49,1.71
,,,LV160TQSAW-2K,LV,16,4,2,,3.48,,7,1.7,5.1,1.65,10,1,,0.213,2.03,42,2,15,,,2.08,34.92,2.32
,,,LV60TQ-WBIC-2K,LV,6,4,2,,2.66,,7,1.04,3.12,1.65,10,1,,,,,,,,,1.8,21.1,0.52
,,,LV100TQ-WBIC-2K,LV,10,4,2,,3.04,,7,1.35,4.05,1.65,10,1,,,,,,,,,2.03,23.8,0.74
,,,LV160TQ-WBIC-2K,LV,16,4,2,,3.48,,7,1.7,5.1,1.65,10,1,,,,,,,,,2.03,26.34,1.02
,,,LV60TQS-WBIC-2K,LV,6,4,2,,2.66,,7,1.04,3.12,1.65,10,1,,0.213,,,,,,,2.03,21.98,0.57
,,,LV100TQS-WBIC-2K,LV,10,4,2,,3.04,,7,1.35,4.05,1.65,10,1,,0.213,,,,,,,2.03,24.23,0.77
,,,LV160TQS-WBIC-2K,LV,16,4,2,,3.48,,7,1.7,5.1,1.65,10,1,,0.213,,,,,,,2.03,26.76,1.06
,,,LV60TQAW-WBIC-2K,LV,6,4,2,,2.66,,7,1.04,3.12,1.65,10,1,,,1.8,42,1.6,15,,,2.03,28.36,1.36
,,,LV100TQAW-WBIC-2K,LV,10,4,2,,3.04,,7,1.35,4.05,1.65,10,1,,,2.03,47,1.6,15,,,2.03,31.06,1.67
,,,LV160TQAW-WBIC-2K,LV,16,4,2,,3.48,,7,1.7,5.1,1.65,10,1,,,2.03,41,2,15,,,2.06,34.46,2.25
,,,LV60TQSAW-WBIC-2K,LV,6,4,2,,2.66,,7,1.04,3.12,1.65,10,1,,0.213,2.03,43,1.6,15,,,2.03,29.24,1.43
,,,LV100TQSAW-WBIC-2K,LV,10,4,2,,3.04,,7,1.35,4.05,1.65,10,1,,0.213,2.03,47,1.6,15,,,2.03,31.49,1.71
,,,LV160TQSAW-WBIC-2K,LV,16,4,2,,3.48,,7,1.7,5.1,1.65,10,1,,0.213,2.03,42,2,15,,,2.08,34.92,2.33
,,,LV60TQ-GWB-2K,LV,6,4,2,X,2.66,2.66,7,1.05,3.12,1.65,10,0.05,0.34,,,,,,,,1.8,19.88,0.48
,,,LV100TQ-GWB-2K,LV,10,4,2,X,3.04,3.04,7,1.36,4.05,1.65,10,0.05,0.34,,,,,,,,2.03,22.58,0.7
,,,LV160TQ-GWB-2K,LV,16,4,2,X,3.48,3.48,7,1.71,5.1,1.65,10,0.05,0.34,,,,,,,,2.03,25.12,0.97
,,,LV60TQSB-2K,LV,6,4,2,,2.66,,7,1.04,3.12,1.65,10,1,,0.213,2.03,,,,,0.28,2.03,26.61,0.72
,,,LV100TQSB-2K,LV,10,4,2,,3.04,,7,1.35,4.05,1.65,10,1,,0.213,2.03,,,,,0.33,2.03,28.95,0.94
,,,LV160TQSB-2K,LV,16,4,2,,3.48,,7,1.7,5.1,1.65,10,1,,0.213,2.03,,,,,0.39,2.03,31.6,1.24
,,,LV60TQSB-WBIC-2K,LV,6,4,2,,2.66,,7,1.04,3.12,1.65,10,1,,0.213,2.03,,,,,0.28,2.03,26.61,0.72
,,,LV100TQSB-WBIC-2K,LV,10,4,2,,3.04,,7,1.35,4.05,1.65,10,1,,0.213,2.03,,,,,0.33,2.03,28.95,0.94
,,,LV160TQSB-WBIC-2K,LV,16,4,2,,3.48,,7,1.7,5.1,1.65,10,1,,0.213,2.03,,,,,0.39,2.03,31.6,1.24
,,,LV100TQ-3K,LV,10,4,3,,3.75,,7,1.35,4.05,2.51,10,1,,,,,,,,,2.48,28.85,0.93
,,,LV160TQ-3K,LV,16,4,3,,4.19,,7,1.7,5.1,2.51,10,1,,,,,,,,,2.48,31.39,1.23
,,,LV100TQS-3K,LV,10,4,3,,3.75,,7,1.35,4.05,2.51,10,1,,0.213,,,,,,,2.48,29.28,0.97
,,,LV160TQS-3K,LV,16,4,3,,4.19,,7,1.7,5.1,2.51,10,1,,0.213,,,,,,,2.48,31.82,1.28
,,,LV100TQAW-3K,LV,10,4,3,,3.75,,7,1.35,4.05,2.51,10,1,,,2.48,45,2,15,,,2.48,37.81,2.33
,,,LV160TQAW-3K,LV,16,4,3,,4.19,,7,1.7,5.1,2.51,10,1,,,2.48,49,2,15,,,2.48,40.35,2.75
,,,LV100TQSAW-3K,LV,10,4,3,,3.75,,7,1.35,4.05,2.51,10,1,,0.213,2.48,46,2,15,,,2.48,38.24,2.4
,,,LV160TQSAW-3K,LV,16,4,3,,4.19,,7,1.7,5.1,2.51,10,1,,0.213,2.48,50,2,15,,,2.48,40.78,2.82
,,,LV100TQ-WBIC-3K,LV,10,4,3,,3.75,,7,1.35,4.05,2.51,10,1,,,,,,,,,2.48,28.85,0.93
,,,LV160TQ-WBIC-3K,LV,16,4,3,,4.19,,7,1.7,5.1,2.51,10,1,,,,,,,,,2.48,31.39,1.23
,,,LV100TQS-WBIC-3K,LV,10,4,3,,3.75,,7,1.35,4.05,2.51,10,1,,0.213,,,,,,,2.48,29.28,0.98
,,,LV160TQS-WBIC-3K,LV,16,4,3,,4.19,,7,1.7,5.1,2.51,10,1,,0.213,,,,,,,2.48,31.82,1.28
,,,LV100TQAW-WBIC-3K,LV,10,4,3,,3.75,,7,1.35,4.05,2.51,10,1,,,2.48,45,2,15,,,2.48,37.81,2.33
,,,LV160TQAW-WBIC-3K,LV,16,4,3,,4.19,,7,1.7,5.1,2.51,10,1,,,2.48,49,2,15,,,2.48,40.35,2.75
,,,LV100TQSAW-WBIC-3K,LV,10,4,3,,3.75,,7,1.35,4.05,2.51,10,1,,0.213,2.48,46,2,15,,,2.48,38.24,2.4
,,,LV160TQSAW-WBIC-3K,LV,16,4,3,,4.19,,7,1.7,5.1,2.51,10,1,,0.213,2.48,50,2,15,,,2.48,40.78,2.83
,,,LV100TQ-GWB-3K,LV,10,4,3,X,3.75,3.75,7,1.36,4.05,2.51,10,0.05,0.34,,,,,,,,2.48,27.63,0.88
,,,LV160TQ-GWB-3K,LV,16,4,3,X,4.19,4.19,7,1.71,5.1,2.51,10,0.05,0.34,,,,,,,,2.48,30.17,1.18
,,,LV100TQSB-3K,LV,10,4,3,,3.75,,7,1.35,4.05,2.51,10,1,,0.213,2.48,,,,,0.45,2.48,35.15,1.22
,,,LV160TQSB-3K,LV,16,4,3,,4.19,,7,1.7,5.1,2.51,10,1,,0.213,2.48,,,,,0.53,2.48,37.83,1.54
,,,LV100TQSB-WBIC-3K,LV,10,4,3,,3.75,,7,1.35,4.05,2.51,10,1,,0.213,2.48,,,,,0.45,2.48,35.15,1.22
,,,LV160TQSB-WBIC-3K,LV,16,4,3,,4.19,,7,1.7,5.1,2.51,10,1,,0.213,2.48,,,,,0.53,2.48,37.83,1.54
